time_s,cycle_name,current_true_a,current_meas_a,terminal_true_v,terminal_meas_v,soc_true_percent,ocv_pack_v,v1_pack_v,power_true_w
1,heavy,20.5,20.478386,54.949892,54.941247,83.811579,55.998966,0.256955,1126.47278
2,heavy,20.5,20.483303,54.816933,54.852032,83.805521,55.997933,0.38888,1123.747129
3,heavy,20.5,20.480862,54.748167,54.673299,83.799463,55.996899,0.456612,1122.337422
4,heavy,20.5,20.549848,54.712358,54.698991,83.793405,55.995865,0.491387,1121.603343
5,heavy,18.8,18.767456,54.780553,54.786347,83.78785,55.994917,0.487933,1029.874389
6,heavy,18.8,18.834845,54.781378,54.839556,83.782294,55.99397,0.486159,1029.88991
7,heavy,18.8,18.898495,54.781341,54.786866,83.776739,55.993022,0.485249,1029.889208
8,heavy,18.8,18.689252,54.78086,54.730127,83.771183,55.992074,0.484781,1029.880177
9,heavy,18.8,18.836951,54.780153,54.845707,83.765628,55.991126,0.484541,1029.866869
10,heavy,18.8,18.806249,54.779328,54.774012,83.760072,55.990178,0.484418,1029.851366
11,heavy,16.0,16.079766,54.921873,54.849196,83.755344,55.989371,0.449259,878.749965
12,heavy,16.0,15.953158,54.939118,54.963636,83.750616,55.988565,0.431207,879.025881
13,heavy,16.0,16.131011,54.947579,54.935547,83.745888,55.987758,0.421939,879.161261
14,heavy,16.0,16.05649,54.95153,54.963941,83.74116,55.986951,0.417181,879.224487
15,heavy,15.0,15.117349,55.004392,54.94873,83.736727,55.986195,0.402203,825.065873
16,heavy,15.0,15.085238,55.011325,54.935599,83.732294,55.985439,0.394514,825.169874
17,heavy,15.0,14.607008,55.014517,54.984172,83.727862,55.984682,0.390566,825.21775
18,heavy,15.0,14.862628,55.015787,55.059588,83.723429,55.983926,0.388539,825.236811
19,heavy,18.8,18.89964,54.821418,54.760464,83.717874,55.982978,0.435129,1030.642652
20,heavy,18.8,18.927104,54.79655,54.74644,83.712318,55.982031,0.459049,1030.175136
21,heavy,18.8,18.787063,54.783321,54.768626,83.706762,55.981083,0.47133,1029.926435
22,heavy,18.8,18.817163,54.776068,54.817,83.701207,55.980135,0.477635,1029.790077
23,heavy,18.8,18.895762,54.771883,54.789377,83.695651,55.979187,0.480872,1029.711398
24,heavy,18.8,18.897492,54.769273,54.793198,83.690096,55.978239,0.482534,1029.662333
25,heavy,18.8,18.705952,54.767472,54.731603,83.68454,55.977292,0.483388,1029.628472
26,heavy,18.8,18.729505,54.766086,54.791052,83.678985,55.976344,0.483826,1029.602418
27,heavy,12.0,11.962483,55.113242,55.23003,83.675439,55.975739,0.398817,661.358903
28,heavy,12.0,11.877106,55.156282,55.101338,83.671892,55.975134,0.355172,661.875384
29,heavy,12.0,12.115271,55.178085,55.249178,83.668346,55.974529,0.332764,662.137021
30,heavy,12.0,12.075854,55.188985,55.230776,83.6648,55.973924,0.321259,662.267818
31,heavy,12.0,12.213952,55.194287,55.189585,83.661254,55.973319,0.315352,662.33144
32,heavy,12.0,11.786556,55.196714,55.17011,83.657708,55.972714,0.31232,662.360572
33,heavy,12.0,12.142934,55.197666,55.125482,83.654162,55.972109,0.310763,662.371996
34,heavy,12.0,12.00503,55.197861,55.210523,83.650616,55.971504,0.309963,662.37433
35,heavy,12.0,11.952661,55.197666,55.233848,83.64707,55.970899,0.309553,662.371995
36,heavy,12.0,12.087117,55.197272,55.313342,83.643524,55.970294,0.309342,662.367265
37,heavy,12.0,12.092995,55.196775,55.166305,83.639978,55.969689,0.309234,662.361303
38,heavy,12.0,11.91573,55.196226,55.154647,83.636431,55.969085,0.309179,662.354711
39,heavy,12.0,12.142841,55.19565,55.167308,83.632885,55.96848,0.30915,662.347794
40,heavy,12.0,11.989461,55.195059,55.232524,83.629339,55.967875,0.309135,662.340711
41,heavy,12.0,11.891481,55.194462,55.179779,83.625793,55.96727,0.309128,662.333543
42,heavy,12.0,11.723807,55.193861,55.139737,83.622247,55.966665,0.309124,662.32633
43,heavy,12.0,11.91484,55.193258,55.214046,83.618701,55.96606,0.309122,662.319095
44,heavy,12.0,12.179024,55.192654,55.191731,83.615155,55.965455,0.309121,662.311849
45,heavy,12.0,12.039205,55.19205,55.200448,83.611609,55.96485,0.309121,662.304596
46,heavy,12.0,12.162711,55.191445,55.236113,83.608063,55.964245,0.30912,662.297341
47,heavy,12.0,12.041054,55.19084,55.140293,83.604517,55.96364,0.30912,662.290083
48,heavy,12.0,12.135508,55.190235,55.209288,83.60097,55.963036,0.30912,662.282826
49,heavy,12.0,12.184041,55.189631,55.188135,83.597424,55.962431,0.30912,662.275567
50,heavy,12.0,12.292965,55.189026,55.171082,83.593878,55.961826,0.30912,662.268309
51,heavy,12.0,12.238959,55.188421,55.194177,83.590332,55.961221,0.30912,662.26105
52,heavy,12.0,11.92256,55.187816,55.131394,83.586786,55.960616,0.30912,662.253792
53,heavy,12.0,11.977345,55.187211,55.258377,83.58324,55.960011,0.30912,662.246533
54,heavy,12.0,12.122456,55.186606,55.22105,83.579694,55.959406,0.30912,662.239275
55,heavy,12.0,11.643619,55.186001,55.22155,83.576148,55.958801,0.30912,662.232017
56,heavy,12.0,12.083378,55.185397,55.1579,83.572602,55.958197,0.30912,662.224759
57,heavy,12.0,11.905892,55.184792,55.184676,83.569056,55.957592,0.30912,662.2175
58,heavy,12.0,12.258731,55.184187,55.131432,83.565509,55.956987,0.30912,662.210242
59,heavy,12.0,11.935829,55.183582,55.251671,83.561963,55.956382,0.30912,662.202984
60,heavy,12.0,11.933077,55.182977,55.164765,83.558417,55.955777,0.30912,662.195726
61,heavy,20.5,20.514666,54.746962,54.684897,83.552359,55.954744,0.415662,1122.312714
62,heavy,20.5,20.532992,54.691228,54.630747,83.546301,55.953711,0.470363,1121.17017
63,heavy,20.5,20.63278,54.66211,54.662269,83.540244,55.952677,0.498447,1120.573261
64,heavy,20.5,20.842515,54.646658,54.6607,83.534186,55.951644,0.512866,1120.256492
65,heavy,18.8,19.004853,54.725304,54.660141,83.52863,55.950697,0.49896,1028.835718
66,heavy,18.8,18.781679,54.731496,54.747653,83.523075,55.949749,0.491821,1028.952123
67,heavy,18.8,19.061858,54.734214,54.650168,83.517519,55.948801,0.488156,1029.00322
68,heavy,18.8,18.948593,54.735148,54.764716,83.511963,55.947854,0.486274,1029.020786
69,heavy,18.8,19.030032,54.735167,54.770786,83.506408,55.946906,0.485307,1029.021137
70,heavy,18.8,18.807811,54.734715,54.708633,83.500852,55.945959,0.484811,1029.01265
71,heavy,16.0,15.812773,54.877452,54.887223,83.496124,55.945152,0.44946,878.039231
72,heavy,16.0,15.971245,54.894795,54.995809,83.491396,55.944346,0.431311,878.316725
73,heavy,16.0,15.908346,54.903307,54.919327,83.486668,55.94354,0.421992,878.452917
74,heavy,16.0,15.76465,54.907285,54.887512,83.48194,55.942733,0.417208,878.516563
75,heavy,15.0,15.039172,54.96016,55.001358,83.477507,55.941977,0.402217,824.402399
76,heavy,15.0,15.217215,54.9671,54.964893,83.473075,55.941221,0.394521,824.506507
77,heavy,15.0,14.832413,54.970296,54.993189,83.468642,55.940465,0.390569,824.55444
78,heavy,15.0,15.077548,54.971569,54.996152,83.464209,55.939709,0.388541,824.573532
79,heavy,18.8,18.694957,54.7772,54.83387,83.458654,55.938762,0.43513,1029.811366
